"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","count_time_of_exposure","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","time_time_of_exposure","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","70","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","591","767","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","0","0","0","0","D:/Lineup study/subject-23.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","18551","18551","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","72482","62107","NA","NA","NA","NA","62107","NA","1786","57490","1786","NA","NA","1792","1792","38890","38890","38865","38938","72482","NA","NA","NA","NA","NA","38936","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","60","relative","undefined","undefined","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","644","766","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","1","0","1","0","D:/Lineup study/subject-23.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","14796","14796","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","98488","93049","NA","NA","NA","NA","93049","NA","1786","87377","1786","NA","NA","1792","1792","38890","38890","38865","72580","98488","NA","NA","NA","NA","NA","72578","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","2","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","0","503","690","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","D:/Lineup study/subject-23.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","8989","8989","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","98488","110619","NA","NA","NA","NA","93049","NA","1786","107566","1786","NA","NA","1792","1792","38890","38890","38865","98577","110620","NA","NA","NA","NA","NA","98575","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","0","375","767","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","D:/Lineup study/subject-23.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","8914","8914","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","98488","123384","NA","NA","NA","NA","93049","NA","1786","119613","1786","NA","NA","1792","1792","38890","38890","38865","110699","123384","NA","NA","NA","NA","NA","110697","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","0","259","654","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","4","0","4","0","D:/Lineup study/subject-23.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","11312","11312","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","98488","139073","NA","NA","NA","NA","93049","NA","1786","134781","1786","NA","NA","1792","1792","38890","38890","38865","123469","139073","NA","NA","NA","NA","NA","123467","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","0","216","698","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","5","0","5","0","D:/Lineup study/subject-23.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","10116","10116","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","98488","152541","NA","NA","NA","NA","93049","NA","1786","149268","1786","NA","NA","1792","1792","38890","38890","38865","139152","152541","NA","NA","NA","NA","NA","139151","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","6","6","1","1","1","0","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","0","293","674","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","D:/Lineup study/subject-23.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","12277","12277","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","98488","193123","159534","164832","NA","NA","93049","NA","1786","189673","1786","164832","NA","1792","1792","177345","177345","38865","177395","193123","152572","159534","NA","NA","177321","177393","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","60","relative","undefined","undefined","1","7","7","1","1","1","0","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","0","407","767","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","1","0","1","0","D:/Lineup study/subject-23.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","8267","8267","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","210394","205188","159534","164832","NA","NA","205188","NA","1786","201483","1786","164832","NA","1792","1792","177345","177345","38865","193215","210394","152572","159534","NA","NA","177321","193213","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","0","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","0","612","718","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","D:/Lineup study/subject-23.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","3939","3939","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","210394","218021","159534","164832","NA","NA","205188","NA","1786","214415","1786","164832","NA","1792","1792","177345","177345","38865","210475","218021","152572","159534","NA","NA","177321","210473","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","9","9","1","1","1","0","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","0","549","767","11/04/17 14:35:39","Executes Python code","yes","","lineup_liveWOMEN.osexp","D:/Lineup study","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","D:/Lineup study/subject-23.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","7590","7590","2","legacy","1024","2","48000","-16","experiment","23","odd","legacy","NA","210394","229159","159534","164832","NA","NA","205188","NA","1786","225689","1786","164832","NA","1792","1792","177345","177345","38865","218098","229160","152572","159534","NA","NA","177321","218096","NA","lineup1","0","0","0","no","no","1366"
