"_prepare","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","count_TA_sequence_setting","count_TP_sequence_setting","count_admin_check","count_check_TP","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_gender_lineup_loop","count_gender_randomization_sequence","count_identification_task","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_lineup_loop","count_lineup_procedure_loop","count_lineup_procedure_sequence","count_lineup_sequence","count_logger","count_made_identification","count_member_randomization_loop","count_member_randomization_sequence","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_target_setting","count_target_setting_loop","count_target_setting_sequence","count_time_of_exposure","count_video","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gender","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_target_setting_loop","logfile","member","member1","member2","member3","member4","member5","member6","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","target1","target2","time_TA_sequence_setting","time_TP_sequence_setting","time_admin_check","time_check_TP","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_gender_lineup_loop","time_gender_randomization_sequence","time_identification_task","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_lineup_loop","time_lineup_procedure_loop","time_lineup_procedure_sequence","time_lineup_sequence","time_logger","time_made_identification","time_member_randomization_loop","time_member_randomization_sequence","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_target_setting","time_target_setting_loop","time_target_setting_sequence","time_time_of_exposure","time_video","title","transparent_variables","trial","uniform_coordinates","width"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","NA","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","NA","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","NA","NA","NA","NA","NA","NA","NA","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","NA","absent","present","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2902","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2903","NA","NA","NA","NA","NA","NA","NA","2903","2902","2903","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","2","NA","0","0","NA","NA","NA","NA","0","0","0","0","NA","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","male","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","NA","4","7","2","1","5","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","[target1]","absent","present","2964","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2902","2958","2962","NA","NA","NA","NA","NA","NA","NA","NA","2964","NA","2962","2964","NA","NA","NA","NA","2903","2902","2903","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","male","768","Not sure","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","[member1]","4","7","2","1","5","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","[target1]","absent","present","2964","NA","NA","NA","NA","40206","NA","NA","NA","NA","NA","NA","2902","2958","2962","33891","NA","NA","3336","3029","3002","3029","3336","40206","NA","2962","2964","NA","NA","NA","NA","2903","2902","2903","NA","8952","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","80","relative","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","male","768","Yes","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","[member2]","4","7","2","1","5","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","[target1]","absent","present","2964","NA","NA","NA","55811","47689","NA","NA","NA","NA","47689","NA","2902","2958","2962","44088","NA","NA","3336","3029","3002","3029","40421","55811","NA","2962","2964","NA","NA","NA","NA","2903","2902","2903","NA","40421","lineup1","no","2","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","2","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","2","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","2","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","[member3]","4","7","2","1","5","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","[target1]","absent","present","2964","NA","NA","NA","55811","62600","NA","NA","NA","NA","47689","NA","2902","2958","2962","58666","NA","NA","3336","3029","3002","3029","56045","62600","NA","2962","2964","NA","NA","NA","NA","2903","2902","2903","NA","56045","lineup1","no","3","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","3","3","0","0","0","0","3","0","0","0","0","3","0","0","3","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","3","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","male","768","Not sure","no","no","no","legacy","no","3","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","[member4]","4","7","2","1","5","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","[target1]","absent","present","2964","NA","NA","NA","55811","82719","NA","NA","NA","NA","47689","NA","2902","2958","2962","67153","NA","NA","3336","3029","3002","3029","62823","82719","NA","2962","2964","NA","NA","NA","NA","2903","2902","2903","NA","62823","lineup1","no","4","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","4","4","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","4","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","male","768","Not sure","no","no","no","legacy","no","4","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","[member5]","4","7","2","1","5","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","[target1]","absent","present","2964","NA","NA","NA","55811","95941","NA","NA","NA","NA","47689","NA","2902","2958","2962","85049","NA","NA","3336","3029","3002","3029","82949","95941","NA","2962","2964","NA","NA","NA","NA","2903","2902","2903","NA","82949","lineup1","no","5","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","5","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","[member6]","4","7","2","1","5","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","[target1]","absent","present","2964","NA","NA","NA","55811","103131","NA","NA","NA","NA","47689","NA","2902","2958","2962","99880","NA","NA","3336","3029","3002","3029","96193","103132","NA","2962","2964","NA","NA","NA","NA","2903","2902","2903","NA","96193","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","male","768","No","Yes","One","No","legacy","no","5","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","[member6]","4","7","2","1","5","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","[target1]","absent","present","2964","NA","119535","NA","55811","103131","110056","119535","168973","NA","47689","NA","2902","2958","2962","99880","NA","NA","3336","3029","3002","3029","96193","168974","103176","2962","2964","110056","124523","NA","NA","2903","2902","2903","NA","96193","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","5","5","0","0","0","0","5","0","0","0","1","5","0","0","5","0","1","0","5","10","0","1","1","0","0","0","0","0","0","0","0","5","11/04/17 12:14:38","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Viper Today","no","mono","no","24","no","black","no","yes","female","768","No","Yes","One","No","legacy","no","0","0","C:/Users/standalone/Desktop/Viper Today/subject-16.csv","[member6]","4","6","3","2","1","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","16","even","legacy","[target2]","absent","present","2964","169041","119535","169042","55811","103131","110056","119535","168973","NA","47689","NA","2902","2958","169039","99880","NA","NA","3336","3029","3002","3029","96193","169042","103176","169039","169041","110056","124523","NA","NA","2903","2902","2903","NA","96193","lineup1","no","6","no","1366"
