_prepare,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,confidence_immediate,coordinates,correct,correct_live_view,count_admin_check,count_check_confidence_imm,count_check_identification,count_check_made_identification,count_check_multiple_identification,count_check_proceeding_identification,count_check_time_of_exposure,count_confidence_imm,count_end_of_experiment,count_experiment,count_identification_task,count_instructions,count_instructions_after_multiple,count_instructions_after_proceed_identification,count_instructions_before_view,count_instructions_sequence,count_lineup_loop,count_lineup_sequence,count_live_lineup,count_live_view,count_logger,count_made_identification,count_multiple_identification,count_proceed_identification,count_repeat_lineup_sequence_identification,count_repeat_lineup_sequence_multiple,count_setting_sequence,count_time_of_exposure,cursor_x,cursor_y,datetime,description,disable_garbage_collection,empty_column,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,height,identification,identification_made,identification_multiple,identification_proceed,keyboard_backend,lecture_time,live_row,live_row_instructions,live_row_lineup_loop,live_row_live_lineup,logfile,member,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_live_view,response_time,response_time_live_view,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,synth_backend,time_admin_check,time_check_confidence_imm,time_check_identification,time_check_made_identification,time_check_multiple_identification,time_check_proceeding_identification,time_check_time_of_exposure,time_confidence_imm,time_end_of_experiment,time_experiment,time_identification_task,time_instructions,time_instructions_after_multiple,time_instructions_after_proceed_identification,time_instructions_before_view,time_instructions_sequence,time_lineup_loop,time_lineup_sequence,time_live_lineup,time_live_view,time_logger,time_made_identification,time_multiple_identification,time_proceed_identification,time_repeat_lineup_sequence_identification,time_repeat_lineup_sequence_multiple,time_setting_sequence,time_time_of_exposure,title,total_correct,total_response_time,total_responses,transparent_variables,uniform_coordinates,width
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,no,relative,undefined,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,587,767,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,No,no,no,no,legacy,no,0,0,0,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,1,xpyriment,Jazzy James,3.1.4,0,1,1,13246,13246,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,NA,38295,NA,NA,NA,NA,NA,NA,13478,34249,13480,NA,NA,13486,13486,20884,20883,20861,21002,38296,NA,NA,NA,NA,NA,21001,NA,lineup1,0,0,0,no,no,1366
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,no,relative,undefined,undefined,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,767,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,No,no,no,no,legacy,no,1,0,1,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,2,xpyriment,Jazzy James,3.1.4,0,1,1,9858,9858,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,NA,51682,NA,NA,NA,NA,NA,NA,13478,48301,13480,NA,NA,13486,13486,20884,20883,20861,38443,51682,NA,NA,NA,NA,NA,38442,NA,lineup1,0,0,0,no,no,1366
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,no,relative,undefined,undefined,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,767,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,Not sure,no,no,no,legacy,no,2,0,2,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,3,xpyriment,Jazzy James,3.1.4,0,1,1,6722,6722,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,NA,62438,NA,NA,NA,NA,NA,NA,13478,58622,13480,NA,NA,13486,13486,20884,20883,20861,51900,62438,NA,NA,NA,NA,NA,51899,NA,lineup1,0,0,0,no,no,1366
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,50,relative,undefined,undefined,0,3,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,767,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,Yes,no,no,no,legacy,no,3,0,3,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,4,xpyriment,Jazzy James,3.1.4,0,1,1,8735,8735,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,80284,76161,NA,NA,NA,NA,76161,NA,13478,71333,13480,NA,NA,13486,13486,20884,20883,20861,62598,80284,NA,NA,NA,NA,NA,62597,NA,lineup1,0,0,0,no,no,1366
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,80,relative,undefined,undefined,0,4,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,4,0,479,767,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,Yes,no,no,no,legacy,no,4,0,4,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,5,xpyriment,Jazzy James,3.1.4,0,1,1,9684,9684,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,97416,93336,NA,NA,NA,NA,93336,NA,13478,90124,13480,NA,NA,13486,13486,20884,20883,20861,80439,97416,NA,NA,NA,NA,NA,80438,NA,lineup1,0,0,0,no,no,1366
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,no,relative,undefined,undefined,0,5,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,5,0,1033,767,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,No,no,no,no,legacy,no,5,0,5,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,6,xpyriment,Jazzy James,3.1.4,0,1,1,7590,7590,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,97416,108589,NA,NA,NA,NA,93336,NA,13478,105172,13480,NA,NA,13486,13486,20884,20883,20861,97581,108589,NA,NA,NA,NA,NA,97580,NA,lineup1,0,0,0,no,no,1366
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,no,relative,undefined,undefined,1,6,6,1,1,1,0,6,0,0,6,0,1,1,0,0,1,1,0,6,9,1,1,1,1,1,6,0,555,767,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,No,no,no,no,legacy,no,0,0,0,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,1,xpyriment,Jazzy James,3.1.4,0,1,1,8432,8432,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,97416,138140,114183,119318,NA,NA,93336,NA,13478,135025,13480,119318,NA,13486,13486,126478,126478,20861,126592,138140,108632,114183,NA,NA,126453,126590,NA,lineup1,0,0,0,no,no,1366
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,no,relative,undefined,undefined,1,7,7,1,1,1,0,7,0,0,7,0,1,1,0,0,1,1,0,7,10,1,1,1,1,1,7,0,0,746,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,No,no,no,no,legacy,no,1,0,1,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,2,xpyriment,Jazzy James,3.1.4,0,1,1,6458,6458,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,97416,148168,114183,119318,NA,NA,93336,NA,13478,144768,13480,119318,NA,13486,13486,126478,126478,20861,138309,148168,108632,114183,NA,NA,126453,138308,NA,lineup1,0,0,0,no,no,1366
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,,relative,undefined,undefined,1,8,8,1,1,1,0,8,0,0,8,0,1,1,0,0,1,1,0,8,11,1,1,1,1,1,8,0,0,767,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,,no,no,no,legacy,no,2,0,2,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,3,xpyriment,Jazzy James,3.1.4,0,1,1,25745,25745,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,97416,180656,114183,119318,NA,NA,93336,NA,13478,174062,13480,119318,NA,13486,13486,126478,126478,20861,148317,180657,108632,114183,NA,NA,126453,148316,NA,lineup1,0,0,0,no,no,1366
,undefined,undefined,undefined,undefined,white,no,xpyriment,legacy,legacy,0,no,relative,undefined,undefined,1,9,9,1,1,1,0,9,0,0,9,0,1,1,0,0,1,1,0,9,12,1,1,1,1,1,9,0,0,767,11/04/2017 11:33,Executes Python code,yes,,lineup_liveMEN.osexp,C:\Users\Laptop1\Desktop\Lineup study,no,mono,no,24,no,black,no,Continue,yes,768,Not sure,no,no,no,legacy,no,3,0,3,0,C:/Users/Laptop1/Desktop/Lineup study/subject-3.csv,4,xpyriment,Jazzy James,3.1.4,0,1,1,8562,8562,2,legacy,1024,2,48000,-16,experiment,3,odd,legacy,NA,197102,193026,114183,119318,NA,NA,193026,NA,13478,189380,13480,119318,NA,13486,13486,126478,126478,20861,180817,197102,108632,114183,NA,NA,126453,180816,NA,lineup1,0,0,0,no,no,1366
