"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","count_time_of_exposure","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","time_time_of_exposure","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","548","698","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","15759","15759","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","NA","22916","NA","NA","NA","NA","NA","NA","1501","20550","1501","NA","NA","1505","1505","4729","4729","4712","4790","22916","NA","NA","NA","NA","NA","4789","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","392","604","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","7321","7321","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","NA","32823","NA","NA","NA","NA","NA","NA","1501","30333","1501","NA","NA","1505","1505","4729","4729","4712","23012","32823","NA","NA","NA","NA","NA","23011","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","60","relative","undefined","undefined","0","2","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","0","261","604","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","10689","10689","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","51223","45550","NA","NA","NA","NA","45550","NA","1501","43637","1501","NA","NA","1505","1505","4729","4729","4712","32948","51223","NA","NA","NA","NA","NA","32947","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","0","550","723","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","8390","8390","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","51223","61957","NA","NA","NA","NA","45550","NA","1501","59709","1501","NA","NA","1505","1505","4729","4729","4712","51319","61957","NA","NA","NA","NA","NA","51318","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","40","relative","undefined","undefined","0","4","4","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","0","127","605","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","4","0","4","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","13671","13671","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","80368","78210","NA","NA","NA","NA","78210","NA","1501","75725","1501","NA","NA","1505","1505","4729","4729","4712","62054","80368","NA","NA","NA","NA","NA","62053","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","0","246","293","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","5","0","5","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","9206","9206","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","80368","91252","NA","NA","NA","NA","78210","NA","1501","89669","1501","NA","NA","1505","1505","4729","4729","4712","80463","91252","NA","NA","NA","NA","NA","80462","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","6","6","1","1","1","0","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","0","598","704","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","11433","11433","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","80368","120676","95425","98086","NA","NA","78210","NA","1501","119101","1501","98086","NA","1505","1505","107607","107607","4712","107668","120676","91288","95425","NA","NA","107590","107667","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","7","7","1","1","1","0","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","0","103","752","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","8351","8351","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","80368","131161","95425","98086","NA","NA","78210","NA","1501","129125","1501","98086","NA","1505","1505","107607","107607","4712","120773","131161","91288","95425","NA","NA","107590","120772","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","0","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","0","175","761","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","8414","8414","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","80368","141473","95425","98086","NA","NA","78210","NA","1501","139669","1501","98086","NA","1505","1505","107607","107607","4712","131255","141473","91288","95425","NA","NA","107590","131254","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","9","9","1","1","1","0","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","0","322","656","12/01/18 12:58:42","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop3\Desktop\Saturday 1DEC","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop3/Desktop/Saturday 1DEC/subject-131.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","12059","12059","2","legacy","1024","2","48000","-16","experiment","131","odd","legacy","NA","80368","155672","95425","98086","NA","NA","78210","NA","1501","153628","1501","98086","NA","1505","1505","107607","107607","4712","141568","155672","91288","95425","NA","NA","107590","141567","NA","lineup1","0","0","0","no","no","1366"
