"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","count_time_of_exposure","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","time_time_of_exposure","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","60","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","797","767","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","26068","26068","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","44879","38457","NA","NA","NA","NA","38457","NA","4050","34128","4051","NA","NA","4058","4058","7920","7920","7897","8060","44879","NA","NA","NA","NA","NA","8059","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","893","765","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","13658","13658","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","44879","62509","NA","NA","NA","NA","38457","NA","4050","58692","4051","NA","NA","4058","4058","7920","7920","7897","45033","62509","NA","NA","NA","NA","NA","45032","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","80","relative","undefined","undefined","0","2","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","0","119","763","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","21455","21455","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","92633","87554","NA","NA","NA","NA","87554","NA","4050","84115","4051","NA","NA","4058","4058","7920","7920","7897","62660","92633","NA","NA","NA","NA","NA","62659","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","0","1351","767","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","11222","11222","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","92633","106594","NA","NA","NA","NA","87554","NA","4050","104002","4051","NA","NA","4058","4058","7920","7920","7897","92780","106595","NA","NA","NA","NA","NA","92780","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","0","50","752","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","no","4","0","4","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","11143","11143","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","92633","122020","NA","NA","NA","NA","87554","NA","4050","117886","4051","NA","NA","4058","4058","7920","7920","7897","106743","122020","NA","NA","NA","NA","NA","106742","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","0","75","767","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","5","0","5","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","10557","10557","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","92633","135147","NA","NA","NA","NA","87554","NA","4050","132726","4051","NA","NA","4058","4058","7920","7920","7897","122169","135147","NA","NA","NA","NA","NA","122168","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","6","6","1","1","1","0","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","0","719","767","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","17660","17660","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","92633","168621","139036","142734","NA","NA","87554","NA","4050","165676","4051","142734","NA","4058","4058","147905","147904","7897","148015","168621","135182","139036","NA","NA","147885","148014","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","7","7","1","1","1","0","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","0","0","767","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","8692","8692","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","92633","179541","139036","142734","NA","NA","87554","NA","4050","177468","4051","142734","NA","4058","4058","147905","147904","7897","168775","179541","135182","139036","NA","NA","147885","168774","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","0","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","0","161","767","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","10875","10875","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","92633","195051","139036","142734","NA","NA","87554","NA","4050","190566","4051","142734","NA","4058","4058","147905","147904","7897","179691","195051","135182","139036","NA","NA","147885","179690","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","9","9","1","1","1","0","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","0","249","767","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","8028","8028","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","92633","206154","139036","142734","NA","NA","87554","NA","4050","203230","4051","142734","NA","4058","4058","147905","147904","7897","195201","206155","135182","139036","NA","NA","147885","195200","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","10","10","1","1","1","0","10","0","0","10","0","1","1","0","0","1","1","0","10","13","1","1","1","1","1","10","0","0","767","12/02/17 12:03:29","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop9\Desktop\1.10 - Live","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","4","0","4","0","C:/Users/Laptop9/Desktop/1.10 - Live/subject-38.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","6632","6632","2","legacy","1024","2","48000","-16","experiment","38","even","legacy","NA","92633","215861","139036","142734","NA","NA","87554","NA","4050","212939","4051","142734","NA","4058","4058","147905","147904","7897","206306","215861","135182","139036","NA","NA","147885","206305","NA","lineup1","0","0","0","no","no","1366"
