"_prepare","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","count_TA_sequence_setting","count_TP_sequence_setting","count_admin_check","count_check_TA","count_check_TP","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_gender_lineup_loop","count_gender_randomization_sequence","count_identification_task","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_lineup_loop","count_lineup_procedure_loop","count_lineup_procedure_sequence","count_lineup_sequence","count_logger","count_made_identification","count_member_randomization_loop","count_member_randomization_sequence","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_target_setting","count_target_setting_loop","count_target_setting_sequence","count_time_of_exposure","count_video","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gender","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_target_setting_loop","logfile","member","member1","member2","member3","member4","member5","member6","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","target1","target2","time_TA_sequence_setting","time_TP_sequence_setting","time_admin_check","time_check_TA","time_check_TP","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_gender_lineup_loop","time_gender_randomization_sequence","time_identification_task","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_lineup_loop","time_lineup_procedure_loop","time_lineup_procedure_sequence","time_lineup_sequence","time_logger","time_made_identification","time_member_randomization_loop","time_member_randomization_sequence","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_target_setting","time_target_setting_loop","time_target_setting_sequence","time_time_of_exposure","time_video","title","transparent_variables","trial","uniform_coordinates","width"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","NA","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","NA","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","NA","NA","NA","NA","NA","NA","NA","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","NA","present","absent","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2228","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2230","NA","NA","NA","NA","NA","NA","NA","2230","2229","2230","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","0","0","NA","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","2","NA","0","0","NA","NA","NA","NA","0","0","0","0","NA","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","male","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","NA","4","1","6","3","2","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","[target1]","present","absent","NA","2297","NA","NA","2297","NA","NA","NA","NA","NA","NA","NA","NA","2228","2292","2295","NA","NA","NA","NA","NA","NA","NA","NA","2297","NA","2295","2297","NA","NA","NA","NA","2230","2229","2230","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","[member1]","4","1","6","3","2","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","[target1]","present","absent","NA","2297","NA","NA","2297","NA","57551","NA","NA","NA","NA","NA","NA","2228","2292","2295","51058","NA","NA","2643","2355","2330","2355","2643","57551","NA","2295","2297","NA","NA","NA","NA","2230","2229","2230","NA","40913","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","[member2]","4","1","6","3","2","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","[target1]","present","absent","NA","2297","NA","NA","2297","NA","63414","NA","NA","NA","NA","NA","NA","2228","2292","2295","59243","NA","NA","2643","2355","2330","2355","57790","63414","NA","2295","2297","NA","NA","NA","NA","2230","2229","2230","NA","57790","lineup1","no","2","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","2","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","2","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","male","768","Not sure","no","no","no","legacy","no","2","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","[member3]","4","1","6","3","2","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","[target1]","present","absent","NA","2297","NA","NA","2297","NA","76865","NA","NA","NA","NA","NA","NA","2228","2292","2295","72302","NA","NA","2643","2355","2330","2355","63671","76866","NA","2295","2297","NA","NA","NA","NA","2230","2229","2230","NA","63671","lineup1","no","3","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","3","3","0","0","0","0","3","0","0","0","0","3","0","0","3","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","3","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","male","768","Not sure","no","no","no","legacy","no","3","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","[member4]","4","1","6","3","2","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","[target1]","present","absent","NA","2297","NA","NA","2297","NA","86519","NA","NA","NA","NA","NA","NA","2228","2292","2295","81578","NA","NA","2643","2355","2330","2355","77072","86519","NA","2295","2297","NA","NA","NA","NA","2230","2229","2230","NA","77072","lineup1","no","4","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","4","4","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","4","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","4","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","[member5]","4","1","6","3","2","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","[target1]","present","absent","NA","2297","NA","NA","2297","NA","92160","NA","NA","NA","NA","NA","NA","2228","2292","2295","88181","NA","NA","2643","2355","2330","2355","86734","92160","NA","2295","2297","NA","NA","NA","NA","2230","2229","2230","NA","86734","lineup1","no","5","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","5","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","[member6]","4","1","6","3","2","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","[target1]","present","absent","NA","2297","NA","NA","2297","NA","97779","NA","NA","NA","NA","NA","NA","2228","2292","2295","94996","NA","NA","2643","2355","2330","2355","92374","97779","NA","2295","2297","NA","NA","NA","NA","2230","2229","2230","NA","92374","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","male","768","No","No","no","No","legacy","no","5","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","[member6]","4","1","6","3","2","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","[target1]","present","absent","NA","2297","107171","NA","2297","NA","97779","107171","NA","119323","NA","NA","NA","2228","2292","2295","94996","NA","NA","2643","2355","2330","2355","92374","119323","97819","2295","2297","NA","110759","NA","NA","2230","2229","2230","NA","92374","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","5","5","0","0","0","0","5","0","0","0","1","5","0","0","5","0","1","0","5","10","0","1","1","0","0","0","0","0","0","0","0","5","12/02/17 12:16:00","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/1.23 - Viper","no","mono","no","24","no","black","no","yes","female","768","No","No","no","No","legacy","no","0","0","C:/Users/standalone/Desktop/1.23 - Viper/subject-40.csv","[member6]","4","1","3","5","2","7","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","40","even","legacy","[target2]","present","absent","119384","2297","107171","119385","2297","NA","97779","107171","NA","119323","NA","NA","NA","2228","2292","119382","94996","NA","NA","2643","2355","2330","2355","92374","119385","97819","119382","119384","NA","110759","NA","NA","2230","2229","2230","NA","92374","lineup1","no","6","no","1366"
