"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","count_time_of_exposure","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","time_time_of_exposure","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","674","766","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","27937","27937","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","NA","60292","NA","NA","NA","NA","NA","NA","1728","53040","1730","NA","NA","1735","1735","25007","25007","24990","25103","60292","NA","NA","NA","NA","NA","25102","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","920","767","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","18898","18898","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","NA","83464","NA","NA","NA","NA","NA","NA","1728","79319","1730","NA","NA","1735","1735","25007","25007","24990","60421","83464","NA","NA","NA","NA","NA","60420","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","2","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","0","810","733","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","22411","22411","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","NA","109528","NA","NA","NA","NA","NA","NA","1728","106008","1730","NA","NA","1735","1735","25007","25007","24990","83596","109528","NA","NA","NA","NA","NA","83595","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","0","434","726","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","21797","21797","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","NA","134016","NA","NA","NA","NA","NA","NA","1728","131455","1730","NA","NA","1735","1735","25007","25007","24990","109658","134016","NA","NA","NA","NA","NA","109656","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","40","relative","undefined","undefined","0","4","4","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","0","76","767","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","4","0","4","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","21347","21347","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","176221","158520","NA","NA","NA","NA","158520","NA","1728","155494","1730","NA","NA","1735","1735","25007","25007","24990","134147","176221","NA","NA","NA","NA","NA","134146","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","0","300","692","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","no","5","0","5","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","16519","16519","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","176221","195753","NA","NA","NA","NA","158520","NA","1728","192871","1730","NA","NA","1735","1735","25007","25007","24990","176352","195753","NA","NA","NA","NA","NA","176351","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","6","6","1","1","1","0","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","0","260","329","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","10434","10434","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","176221","280159","211456","216978","NA","NA","158520","NA","1728","240206","1730","216979","NA","1735","1735","229676","229676","24990","229771","280159","195790","211456","NA","NA","229658","229771","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","7","7","1","1","1","0","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","0","836","409","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","3855","3855","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","176221","292541","211456","216978","NA","NA","158520","NA","1728","284150","1730","216979","NA","1735","1735","229676","229676","24990","280295","292542","195790","211456","NA","NA","229658","280294","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","0","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","0","3","615","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","765","765","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","176221","295513","211456","216978","NA","NA","158520","NA","1728","293438","1730","216979","NA","1735","1735","229676","229676","24990","292672","295513","195790","211456","NA","NA","229658","292671","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","9","9","1","1","1","0","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","0","3","618","10/06/18 13:28:02","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop10/Desktop/Open Day 6 Oct/subject-93.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","481","481","2","legacy","1024","2","48000","-16","experiment","93","odd","legacy","NA","176221","297878","211456","216978","NA","NA","158520","NA","1728","296125","1730","216979","NA","1735","1735","229676","229676","24990","295644","297878","195790","211456","NA","NA","229658","295643","NA","lineup1","0","0","0","no","no","1366"
