"_prepare","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","count_TA_sequence_setting","count_TP_sequence_setting","count_admin_check","count_check_TA","count_check_TP","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_gender_lineup_loop","count_gender_randomization_sequence","count_identification_task","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_lineup_loop","count_lineup_procedure_loop","count_lineup_procedure_sequence","count_lineup_sequence","count_logger","count_made_identification","count_member_randomization_loop","count_member_randomization_sequence","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_target_setting","count_target_setting_loop","count_target_setting_sequence","count_time_of_exposure","count_video","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gender","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_target_setting_loop","logfile","member","member1","member2","member3","member4","member5","member6","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","target1","target2","time_TA_sequence_setting","time_TP_sequence_setting","time_admin_check","time_check_TA","time_check_TP","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_gender_lineup_loop","time_gender_randomization_sequence","time_identification_task","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_lineup_loop","time_lineup_procedure_loop","time_lineup_procedure_sequence","time_lineup_sequence","time_logger","time_made_identification","time_member_randomization_loop","time_member_randomization_sequence","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_target_setting","time_target_setting_loop","time_target_setting_sequence","time_time_of_exposure","time_video","title","transparent_variables","trial","uniform_coordinates","width"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","NA","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","NA","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","NA","NA","NA","NA","NA","NA","NA","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","NA","absent","present","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2512","NA","NA","NA","NA","NA","NA","NA","2512","2510","2512","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","1","1","NA","1","1","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","3","NA","0","1","NA","NA","NA","NA","0","0","0","0","NA","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","NA","1","2","6","3","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","[target2]","absent","present","NA","2613","NA","NA","2613","NA","NA","NA","NA","NA","NA","NA","NA","2510","2605","2608","NA","NA","NA","NA","NA","NA","NA","NA","2613","NA","2608","2613","NA","NA","NA","NA","2512","2510","2512","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","1","1","NA","1","1","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","3","NA","0","1","NA","NA","NA","NA","0","0","0","0","NA","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","NA","1","2","6","3","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","[target2]","absent","present","NA","2613","NA","NA","2613","NA","NA","NA","NA","NA","NA","NA","NA","2510","2605","2608","NA","NA","NA","NA","NA","NA","NA","NA","2654","NA","2608","2613","NA","NA","NA","NA","2512","2510","2512","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","[member1]","1","2","6","3","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","[target2]","absent","present","NA","2613","NA","NA","2613","NA","18532","NA","NA","NA","NA","NA","NA","2510","2605","2608","14165","NA","NA","3217","2718","2689","2718","3217","18532","NA","2608","2613","NA","NA","NA","NA","2512","2510","2512","NA","7280","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","6","0","0","1","0","0","0","0","0","0","0","0","1","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","Not sure","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","[member2]","1","2","6","3","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","[target2]","absent","present","NA","2613","NA","NA","2613","NA","31725","NA","NA","NA","NA","NA","NA","2510","2605","2608","27972","NA","NA","3217","2718","2689","2718","18936","31725","NA","2608","2613","NA","NA","NA","NA","2512","2510","2512","NA","18936","lineup1","no","2","no","1366"
"","white","no","xpyriment","legacy","legacy","0","20","relative","1","1","0","1","1","2","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","2","7","0","0","1","0","0","0","0","0","0","0","0","2","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","Yes","no","no","no","legacy","no","2","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","[member3]","1","2","6","3","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","[target2]","absent","present","NA","2613","NA","NA","2613","69363","55859","NA","NA","NA","NA","55859","NA","2510","2605","2608","48877","NA","NA","3217","2718","2689","2718","32145","69363","NA","2608","2613","NA","NA","NA","NA","2512","2510","2512","NA","32145","lineup1","no","3","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","3","3","0","0","0","0","3","0","0","0","0","3","0","0","3","0","0","0","3","8","0","0","1","0","0","0","0","0","0","0","0","3","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","Not sure","no","no","no","legacy","no","3","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","[member4]","1","2","6","3","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","[target2]","absent","present","NA","2613","NA","NA","2613","69363","84982","NA","NA","NA","NA","55859","NA","2510","2605","2608","81638","NA","NA","3217","2718","2689","2718","69764","84982","NA","2608","2613","NA","NA","NA","NA","2512","2510","2512","NA","69764","lineup1","no","4","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","4","4","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","4","9","0","0","1","0","0","0","0","0","0","0","0","4","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","4","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","[member5]","1","2","6","3","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","[target2]","absent","present","NA","2613","NA","NA","2613","69363","93631","NA","NA","NA","NA","55859","NA","2510","2605","2608","89900","NA","NA","3217","2718","2689","2718","85376","93631","NA","2608","2613","NA","NA","NA","NA","2512","2510","2512","NA","85376","lineup1","no","5","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","10","0","0","1","0","0","0","0","0","0","0","0","5","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","5","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","[member6]","1","2","6","3","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","[target2]","absent","present","NA","2613","NA","NA","2613","69363","104175","NA","NA","NA","NA","55859","NA","2510","2605","2608","100019","NA","NA","3217","2718","2689","2718","94047","104175","NA","2608","2613","NA","NA","NA","NA","2512","2510","2512","NA","94047","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","10","0","0","1","0","0","0","0","0","0","0","0","5","10/06/18 11:09:46","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","No","Yes","One","No","legacy","no","5","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-111.csv","[member6]","1","2","6","3","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","111","odd","legacy","[target2]","absent","present","NA","2613","138353","NA","2613","69363","104175","112393","138353","153153","NA","55859","NA","2510","2605","2608","100019","NA","NA","3217","2718","2689","2718","94047","153153","104245","2608","2613","112394","143005","NA","NA","2512","2510","2512","NA","94047","lineup1","no","6","no","1366"
