"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","count_time_of_exposure","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","time_time_of_exposure","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","11","0","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","21199","21199","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","NA","NA","37831","NA","NA","NA","NA","NA","NA","1564","27877","1566","NA","NA","1570","1570","6582","6582","6564","6678","37831","NA","NA","NA","NA","NA","6677","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","230","692","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","15934","15934","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","NA","NA","58991","NA","NA","NA","NA","NA","NA","1564","53900","1566","NA","NA","1570","1570","6582","6582","6564","37966","58992","NA","NA","NA","NA","NA","37965","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","2","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","0","324","735","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","11103","11103","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","NA","NA","76475","NA","NA","NA","NA","NA","NA","1564","70228","1566","NA","NA","1570","1570","6582","6582","6564","59125","76475","NA","NA","NA","NA","NA","59124","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","0","636","589","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","8342","8342","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","NA","NA","88615","NA","NA","NA","NA","NA","NA","1564","84948","1566","NA","NA","1570","1570","6582","6582","6564","76606","88615","NA","NA","NA","NA","NA","76605","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","0","697","548","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","4","0","4","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","11571","11571","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","NA","NA","104305","NA","NA","NA","NA","NA","NA","1564","100316","1566","NA","NA","1570","1570","6582","6582","6564","88745","104305","NA","NA","NA","NA","NA","88744","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","0","512","578","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","5","0","5","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","10623","10623","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","NA","NA","118734","NA","NA","NA","NA","NA","NA","1564","115060","1566","NA","NA","1570","1570","6582","6582","6564","104437","118734","NA","NA","NA","NA","NA","104436","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","6","6","1","1","1","0","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","0","622","494","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","24368","24368","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","125624","NA","181375","125623","NA","144989","NA","NA","NA","1564","177387","1566","NA","144989","1570","1570","152921","152921","6564","153019","181375","118770","NA","128147","152903","NA","153018","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","30","relative","undefined","undefined","1","7","7","1","1","1","0","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","0","737","692","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","11339","11339","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","125624","206883","197478","125623","NA","144989","NA","197478","NA","1564","192851","1566","NA","144989","1570","1570","152921","152921","6564","181512","206883","118770","NA","128147","152903","NA","181511","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","0","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","0","858","660","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","4513","4513","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","125624","206883","215035","125623","NA","144989","NA","197478","NA","1564","211531","1566","NA","144989","1570","1570","152921","152921","6564","207018","215035","118770","NA","128147","152903","NA","207017","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","9","9","1","1","1","0","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","0","533","629","11/10/18 11:11:20","Executes Python code","yes","","lineup_liveWOMEN.osexp","C:\Users\Laptop10\Desktop\Sat 10 Nov LF 2.06","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop10/Desktop/Sat 10 Nov LF 2.06/subject-97.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","675","675","2","legacy","1024","2","48000","-16","experiment","97","odd","legacy","125624","206883","218416","125623","NA","144989","NA","197478","NA","1564","215843","1566","NA","144989","1570","1570","152921","152921","6564","215168","218416","118770","NA","128147","152903","NA","215167","NA","lineup1","0","0","0","no","no","1366"
