"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","count_time_of_exposure","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","time_time_of_exposure","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","700","599","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","4705","4705","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","NA","NA","31457","NA","NA","NA","NA","NA","NA","1605","16494","1606","NA","NA","1612","1612","11688","11688","11669","11788","31458","NA","NA","NA","NA","NA","11788","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","1","751","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","3905","3905","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","NA","NA","50577","NA","NA","NA","NA","NA","NA","1605","35502","1606","NA","NA","1612","1612","11688","11688","11669","31596","50577","NA","NA","NA","NA","NA","31595","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","2","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","0","135","756","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","2866","2866","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","NA","NA","62845","NA","NA","NA","NA","NA","NA","1605","53589","1606","NA","NA","1612","1612","11688","11688","11669","50723","62846","NA","NA","NA","NA","NA","50722","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","0","153","767","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","2219","2219","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","NA","NA","73922","NA","NA","NA","NA","NA","NA","1605","65198","1606","NA","NA","1612","1612","11688","11688","11669","62978","73923","NA","NA","NA","NA","NA","62978","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","0","133","767","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","4","0","4","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","2576","2576","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","NA","NA","86637","NA","NA","NA","NA","NA","NA","1605","76637","1606","NA","NA","1612","1612","11688","11688","11669","74061","86637","NA","NA","NA","NA","NA","74060","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","0","186","763","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","5","0","5","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","1163","1163","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","NA","NA","98358","NA","NA","NA","NA","NA","NA","1605","87933","1606","NA","NA","1612","1612","11688","11688","11669","86770","98358","NA","NA","NA","NA","NA","86769","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","70","relative","undefined","undefined","1","6","6","1","1","1","0","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","0","491","712","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","3085","3085","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","126879","157537","152311","126879","NA","132351","NA","152311","NA","1605","140533","1606","NA","132352","1612","1612","137349","137349","11669","137447","157537","98392","NA","128651","137330","NA","137447","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","7","7","1","1","1","0","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","0","445","601","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","1107","1107","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","126879","157537","161971","126879","NA","132351","NA","152311","NA","1605","158781","1606","NA","132352","1612","1612","137349","137349","11669","157673","161972","98392","NA","128651","137330","NA","157672","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","0","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","0","65","626","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","887","887","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","126879","157537","171523","126879","NA","132351","NA","152311","NA","1605","163021","1606","NA","132352","1612","1612","137349","137349","11669","162133","171524","98392","NA","128651","137330","NA","162132","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","9","9","1","1","1","0","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","0","205","674","11/10/18 10:57:33","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop4\Desktop\Sat 10 Nov LM 2.09","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop4/Desktop/Sat 10 Nov LM 2.09/subject-101.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","1479","1479","2","legacy","1024","2","48000","-16","experiment","101","odd","legacy","126879","157537","181274","126879","NA","132351","NA","152311","NA","1605","173141","1606","NA","132352","1612","1612","137349","137349","11669","171661","181274","98392","NA","128651","137330","NA","171660","NA","lineup1","0","0","0","no","no","1366"
