"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","724","570","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","0","0","0","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","10536","10536","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","NA","NA","19752","NA","NA","NA","NA","NA","1468","17362","1468","NA","NA","1472","1472","6768","6768","6752","6826","19752","NA","NA","NA","NA","NA","6825","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","253","470","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","1","0","1","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","7225","7225","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","NA","NA","29348","NA","NA","NA","NA","NA","1468","27075","1468","NA","NA","1472","1472","6768","6768","6752","19849","29348","NA","NA","NA","NA","NA","19848","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","2","2","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","535","702","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","2","0","2","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","6903","6903","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","NA","NA","39495","NA","NA","NA","NA","NA","1468","36346","1468","NA","NA","1472","1472","6768","6768","6752","29443","39495","NA","NA","NA","NA","NA","29442","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","464","731","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","3","0","3","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","12909","12909","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","NA","NA","55555","NA","NA","NA","NA","NA","1468","52498","1468","NA","NA","1472","1472","6768","6768","6752","39589","55555","NA","NA","NA","NA","NA","39588","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","356","650","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","4","0","4","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","10447","10447","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","NA","NA","68165","NA","NA","NA","NA","NA","1468","66098","1468","NA","NA","1472","1472","6768","6768","6752","55651","68165","NA","NA","NA","NA","NA","55649","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","389","495","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","6873","6873","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","NA","NA","77415","NA","NA","NA","NA","NA","1468","75131","1468","NA","NA","1472","1472","6768","6768","6752","68257","77415","NA","NA","NA","NA","NA","68256","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","6","6","1","1","1","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","431","711","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","0","0","0","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","13610","13610","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","101969","NA","136233","101969","NA","108672","NA","NA","1468","134178","1468","NA","108672","1472","1472","120508","120508","6752","120567","136233","77449","NA","104173","120492","NA","120566","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","7","7","1","1","1","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","876","540","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","1","0","1","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","9587","9587","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","101969","NA","147875","101969","NA","108672","NA","NA","1468","145922","1468","NA","108672","1472","1472","120508","120508","6752","136335","147875","77449","NA","104173","120492","NA","136333","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","541","602","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","2","0","2","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","10216","10216","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","101969","NA","162420","101969","NA","108672","NA","NA","1468","158185","1468","NA","108672","1472","1472","120508","120508","6752","147969","162420","77449","NA","104173","120492","NA","147968","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","40","relative","undefined","undefined","1","9","9","1","1","1","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","585","486","02/14/18 14:59:42","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","3","0","3","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-55.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","8336","8336","2","legacy","1024","2","48000","-16","experiment","55","odd","legacy","101969","179044","173235","101969","NA","108672","173235","NA","1468","170850","1468","NA","108672","1472","1472","120508","120508","6752","162513","179044","77449","NA","104173","120492","NA","162512","lineup1","0","0","0","no","no","1366"
