"_prepare"	"acc"	"accuracy"	"average_response_time"	"avg_rt"	"background"	"bidi"	"canvas_backend"	"clock_backend"	"color_backend"	"compensation"	"confidence_immediate"	"coordinates"	"correct"	"correct_live_view"	"count_admin_check"	"count_check_confidence_imm"	"count_check_identification"	"count_check_made_identification"	"count_check_multiple_identification"	"count_check_proceeding_identification"	"count_confidence_imm"	"count_end_of_experiment"	"count_experiment"	"count_identification_task"	"count_instructions"	"count_instructions_after_multiple"	"count_instructions_after_proceed_identification"	"count_instructions_before_view"	"count_instructions_sequence"	"count_lineup_loop"	"count_lineup_sequence"	"count_live_lineup"	"count_live_view"	"count_logger"	"count_made_identification"	"count_multiple_identification"	"count_proceed_identification"	"count_repeat_lineup_sequence_identification"	"count_repeat_lineup_sequence_multiple"	"count_setting_sequence"	"cursor_x"	"cursor_y"	"datetime"	"description"	"disable_garbage_collection"	"empty_column"	"experiment_file"	"experiment_path"	"font_bold"	"font_family"	"font_italic"	"font_size"	"font_underline"	"foreground"	"form_clicks"	"form_response"	"fullscreen"	"height"	"identification"	"identification_made"	"identification_multiple"	"identification_proceed"	"keyboard_backend"	"live_row"	"live_row_instructions"	"live_row_lineup_loop"	"live_row_live_lineup"	"logfile"	"member"	"mouse_backend"	"opensesame_codename"	"opensesame_version"	"repeat_cycle"	"response"	"response_live_view"	"response_time"	"response_time_live_view"	"round_decimals"	"sampler_backend"	"sound_buf_size"	"sound_channels"	"sound_freq"	"sound_sample_size"	"start"	"subject_nr"	"subject_parity"	"synth_backend"	"time_admin_check"	"time_check_confidence_imm"	"time_check_identification"	"time_check_made_identification"	"time_check_multiple_identification"	"time_check_proceeding_identification"	"time_confidence_imm"	"time_end_of_experiment"	"time_experiment"	"time_identification_task"	"time_instructions"	"time_instructions_after_multiple"	"time_instructions_after_proceed_identification"	"time_instructions_before_view"	"time_instructions_sequence"	"time_lineup_loop"	"time_lineup_sequence"	"time_live_lineup"	"time_live_view"	"time_logger"	"time_made_identification"	"time_multiple_identification"	"time_proceed_identification"	"time_repeat_lineup_sequence_identification"	"time_repeat_lineup_sequence_multiple"	"time_setting_sequence"	"title"	"total_correct"	"total_response_time"	"total_responses"	"transparent_variables"	"uniform_coordinates"	"width"
"1"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"409"	"450"	"02/21/18 14:47:12"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"0"	"0"	"0"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-61.csv"	"1"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"15219"	"15219"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	NA	"61733"	NA	NA	NA	NA	NA	"1586"	"57959"	"1586"	NA	NA	"1591"	"1591"	"42671"	"42671"	"42652"	"42740"	"61733"	NA	NA	NA	NA	NA	"42739"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"2"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"80"	"relative"	"undefined"	"undefined"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"456"	"567"	"02/21/18 14:47:12"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"Yes"	"no"	"no"	"no"	"legacy"	"1"	"0"	"1"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-61.csv"	"2"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"4654"	"4654"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	"75876"	"71261"	NA	NA	NA	"71261"	NA	"1586"	"66496"	"1586"	NA	NA	"1591"	"1591"	"42671"	"42671"	"42652"	"61841"	"75876"	NA	NA	NA	NA	NA	"61840"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"3"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"2"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"875"	"548"	"02/21/18 14:47:12"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"2"	"0"	"2"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-61.csv"	"3"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"12953"	"12953"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	"75876"	"91680"	NA	NA	NA	"71261"	NA	"1586"	"88935"	"1586"	NA	NA	"1591"	"1591"	"42671"	"42671"	"42652"	"75982"	"91680"	NA	NA	NA	NA	NA	"75981"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"4"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"3"	"3"	"0"	"0"	"0"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"3"	"652"	"594"	"02/21/18 14:47:12"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"3"	"0"	"3"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-61.csv"	"4"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"12115"	"12115"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	"75876"	"108700"	NA	NA	NA	"71261"	NA	"1586"	"103903"	"1586"	NA	NA	"1591"	"1591"	"42671"	"42671"	"42652"	"91788"	"108700"	NA	NA	NA	NA	NA	"91786"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"5"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"4"	"4"	"0"	"0"	"0"	"4"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"4"	"555"	"542"	"02/21/18 14:47:12"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"4"	"0"	"4"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-61.csv"	"5"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"9707"	"9707"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	"75876"	"121278"	NA	NA	NA	"71261"	NA	"1586"	"118511"	"1586"	NA	NA	"1591"	"1591"	"42671"	"42671"	"42652"	"108804"	"121278"	NA	NA	NA	NA	NA	"108802"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"6"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"398"	"608"	"02/21/18 14:47:12"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-61.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"5660"	"5660"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	"75876"	"129431"	NA	NA	NA	"71261"	NA	"1586"	"127047"	"1586"	NA	NA	"1591"	"1591"	"42671"	"42671"	"42652"	"121386"	"129431"	NA	NA	NA	NA	NA	"121385"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"7"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"398"	"608"	"02/21/18 14:47:12"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"Yes"	"One"	"No"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-61.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"5660"	"5660"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	"138898"	"75876"	"129431"	"134754"	"138898"	"147861"	"71261"	NA	"1586"	"127047"	"1586"	NA	NA	"1591"	"1591"	"42671"	"42671"	"42652"	"121386"	"147861"	"129468"	"134754"	"141794"	NA	NA	"121385"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"8"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"398"	"608"	"02/21/18 14:47:12"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Click to end"	"yes"	"768"	"No"	"Yes"	"One"	"No"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-61.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"5660"	"5660"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	"138898"	"75876"	"129431"	"134754"	"138898"	"147861"	"71261"	"147892"	"1586"	"127047"	"1586"	NA	NA	"1591"	"1591"	"42671"	"42671"	"42652"	"121386"	"169997"	"129468"	"134754"	"141794"	NA	NA	"121385"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"9"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"677"	"767"	"02/21/18 14:39:15"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"0"	"0"	"0"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv"	"1"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"2674"	"2674"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"62"	"even"	"legacy"	NA	NA	"64818"	NA	NA	NA	NA	NA	"1615"	"60203"	"1615"	NA	NA	"1620"	"1620"	"57462"	"57461"	"57442"	"57528"	"64818"	NA	NA	NA	NA	NA	"57527"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"10"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"167"	"759"	"02/21/18 14:39:15"	"Executes Python code"	"yes"	""	"lineup_liveWOMEN_W.osexp"	"C:\Users\Laptop3\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"1"	"0"	"1"	"0"	"C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv"	"2"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"11150"	"11150"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"62"	"even"	"legacy"	NA	NA	"81540"	NA	NA	NA	NA	NA	"1615"	"76114"	"1615"	NA	NA	"1620"	"1620"	"57462"	"57461"	"57442"	"64963"	"81541"	NA	NA	NA	NA	NA	"64962"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
