"_prepare"	"acc"	"accuracy"	"average_response_time"	"avg_rt"	"background"	"bidi"	"canvas_backend"	"clock_backend"	"color_backend"	"compensation"	"confidence_immediate"	"coordinates"	"correct"	"correct_live_view"	"count_admin_check"	"count_check_confidence_imm"	"count_check_identification"	"count_check_made_identification"	"count_check_multiple_identification"	"count_check_proceeding_identification"	"count_confidence_imm"	"count_end_of_experiment"	"count_experiment"	"count_identification_task"	"count_instructions"	"count_instructions_after_multiple"	"count_instructions_after_proceed_identification"	"count_instructions_before_view"	"count_instructions_sequence"	"count_lineup_loop"	"count_lineup_sequence"	"count_live_lineup"	"count_live_view"	"count_logger"	"count_made_identification"	"count_multiple_identification"	"count_proceed_identification"	"count_repeat_lineup_sequence_identification"	"count_repeat_lineup_sequence_multiple"	"count_setting_sequence"	"cursor_x"	"cursor_y"	"datetime"	"description"	"disable_garbage_collection"	"empty_column"	"experiment_file"	"experiment_path"	"font_bold"	"font_family"	"font_italic"	"font_size"	"font_underline"	"foreground"	"form_clicks"	"form_response"	"fullscreen"	"height"	"identification"	"identification_made"	"identification_multiple"	"identification_proceed"	"keyboard_backend"	"live_row"	"live_row_instructions"	"live_row_lineup_loop"	"live_row_live_lineup"	"logfile"	"member"	"mouse_backend"	"opensesame_codename"	"opensesame_version"	"repeat_cycle"	"response"	"response_live_view"	"response_time"	"response_time_live_view"	"round_decimals"	"sampler_backend"	"sound_buf_size"	"sound_channels"	"sound_freq"	"sound_sample_size"	"start"	"subject_nr"	"subject_parity"	"synth_backend"	"time_admin_check"	"time_check_confidence_imm"	"time_check_identification"	"time_check_made_identification"	"time_check_multiple_identification"	"time_check_proceeding_identification"	"time_confidence_imm"	"time_end_of_experiment"	"time_experiment"	"time_identification_task"	"time_instructions"	"time_instructions_after_multiple"	"time_instructions_after_proceed_identification"	"time_instructions_before_view"	"time_instructions_sequence"	"time_lineup_loop"	"time_lineup_sequence"	"time_live_lineup"	"time_live_view"	"time_logger"	"time_made_identification"	"time_multiple_identification"	"time_proceed_identification"	"time_repeat_lineup_sequence_identification"	"time_repeat_lineup_sequence_multiple"	"time_setting_sequence"	"title"	"total_correct"	"total_response_time"	"total_responses"	"transparent_variables"	"uniform_coordinates"	"width"
"1"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"91"	"141"	"02/21/18 14:51:08"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"0"	"0"	"0"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-61.csv"	"1"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"9648"	"9648"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	NA	"45319"	NA	NA	NA	NA	NA	"1562"	"40748"	"1562"	NA	NA	"1566"	"1566"	"31007"	"31007"	"30989"	"31100"	"45319"	NA	NA	NA	NA	NA	"31100"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"2"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"712"	"432"	"02/21/18 14:51:08"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"1"	"0"	"1"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-61.csv"	"2"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"2087"	"2087"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	NA	"50437"	NA	NA	NA	NA	NA	"1562"	"47541"	"1562"	NA	NA	"1566"	"1566"	"31007"	"31007"	"30989"	"45454"	"50437"	NA	NA	NA	NA	NA	"45453"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"3"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"2"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"741"	"168"	"02/21/18 14:51:08"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"2"	"0"	"2"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-61.csv"	"3"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"7132"	"7132"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	NA	"64470"	NA	NA	NA	NA	NA	"1562"	"57732"	"1562"	NA	NA	"1566"	"1566"	"31007"	"31007"	"30989"	"50600"	"64471"	NA	NA	NA	NA	NA	"50599"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"4"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"60"	"relative"	"undefined"	"undefined"	"0"	"3"	"3"	"0"	"0"	"0"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"3"	"486"	"691"	"02/21/18 14:51:08"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"Yes"	"no"	"no"	"no"	"legacy"	"3"	"0"	"3"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-61.csv"	"4"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"3468"	"3468"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	"76024"	"70493"	NA	NA	NA	"70493"	NA	"1562"	"68069"	"1562"	NA	NA	"1566"	"1566"	"31007"	"31007"	"30989"	"64600"	"76024"	NA	NA	NA	NA	NA	"64599"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"5"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"4"	"4"	"0"	"0"	"0"	"4"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"4"	"514"	"412"	"02/21/18 14:51:08"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"4"	"0"	"4"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-61.csv"	"5"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"4125"	"4125"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	"76024"	"83009"	NA	NA	NA	"70493"	NA	"1562"	"80284"	"1562"	NA	NA	"1566"	"1566"	"31007"	"31007"	"30989"	"76158"	"83009"	NA	NA	NA	NA	NA	"76157"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"6"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"452"	"334"	"02/21/18 14:51:08"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-61.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"3871"	"3871"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	NA	"76024"	"90681"	NA	NA	NA	"70493"	NA	"1562"	"87012"	"1562"	NA	NA	"1566"	"1566"	"31007"	"31007"	"30989"	"83141"	"90682"	NA	NA	NA	NA	NA	"83140"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"7"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"452"	"334"	"02/21/18 14:51:08"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"Yes"	"One"	"No"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-61.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"3871"	"3871"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	"97409"	"76024"	"90681"	"94133"	"97409"	"128808"	"70493"	NA	"1562"	"87012"	"1562"	NA	NA	"1566"	"1566"	"31007"	"31007"	"30989"	"83141"	"128808"	"90717"	"94134"	"99784"	NA	NA	"83140"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"8"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"452"	"334"	"02/21/18 14:51:08"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Click to end"	"yes"	"768"	"No"	"Yes"	"One"	"No"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-61.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"3871"	"3871"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"61"	"odd"	"legacy"	"97409"	"76024"	"90681"	"94133"	"97409"	"128808"	"70493"	"128839"	"1562"	"87012"	"1562"	NA	NA	"1566"	"1566"	"31007"	"31007"	"30989"	"83141"	"131072"	"90717"	"94134"	"99784"	NA	NA	"83140"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"9"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"356"	"02/21/18 14:44:00"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"0"	"0"	"0"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-62.csv"	"1"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"10993"	"10993"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"62"	"even"	"legacy"	NA	NA	"62251"	NA	NA	NA	NA	NA	"1548"	"58005"	"1549"	NA	NA	"1553"	"1553"	"46915"	"46915"	"46897"	"47011"	"62251"	NA	NA	NA	NA	NA	"47010"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"10"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1345"	"762"	"02/21/18 14:44:00"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 2102"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"1"	"0"	"1"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 2102/subject-62.csv"	"2"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"4011"	"4011"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"62"	"even"	"legacy"	NA	NA	"70115"	NA	NA	NA	NA	NA	"1548"	"66397"	"1549"	NA	NA	"1553"	"1553"	"46915"	"46915"	"46897"	"62386"	"70116"	NA	NA	NA	NA	NA	"62385"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
