"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1134","515","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","0","0","0","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","16439","16439","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","NA","104736","NA","NA","NA","NA","NA","1614","93794","1614","NA","NA","1618","1618","77251","77251","77231","77355","104736","NA","NA","NA","NA","NA","77354","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","887","460","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","1","0","1","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","4732","4732","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","NA","112931","NA","NA","NA","NA","NA","1614","109602","1614","NA","NA","1618","1618","77251","77251","77231","104869","112931","NA","NA","NA","NA","NA","104868","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","2","2","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","501","717","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","2","0","2","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","12534","12534","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","NA","128707","NA","NA","NA","NA","NA","1614","125610","1614","NA","NA","1618","1618","77251","77251","77231","113075","128707","NA","NA","NA","NA","NA","113073","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","20","relative","undefined","undefined","0","3","3","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","338","683","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","3","0","3","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","10137","10137","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","166641","142190","NA","NA","NA","142190","NA","1614","138970","1614","NA","NA","1618","1618","77251","77251","77231","128833","166641","NA","NA","NA","NA","NA","128832","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","70","relative","undefined","undefined","0","4","4","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","929","657","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","4","0","4","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","6929","6929","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","181798","176947","NA","NA","NA","176947","NA","1614","173722","1614","NA","NA","1618","1618","77251","77251","77231","166792","181798","NA","NA","NA","NA","NA","166790","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","996","715","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","5","0","5","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","10739","10739","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","181798","196565","NA","NA","NA","176947","NA","1614","192674","1614","NA","NA","1618","1618","77251","77251","77231","181934","196565","NA","NA","NA","NA","NA","181933","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","6","6","1","1","1","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","889","596","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","0","0","0","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","19798","19798","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","181798","249319","202783","206884","NA","176947","NA","1614","238730","1614","206884","NA","1618","1618","218834","218834","77231","218931","249319","196602","202783","NA","NA","218816","218930","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","7","7","1","1","1","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","778","721","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","1","0","1","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","9119","9119","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","181798","261290","202783","206884","NA","176947","NA","1614","258577","1614","206884","NA","1618","1618","218834","218834","77231","249458","261291","196602","202783","NA","NA","218816","249457","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","324","684","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","2","0","2","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","12068","12068","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","181798","275878","202783","206884","NA","176947","NA","1614","273489","1614","206884","NA","1618","1618","218834","218834","77231","261421","275878","196602","202783","NA","NA","218816","261420","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","9","9","1","1","1","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","235","727","02/21/18 15:25:53","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","3","0","3","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-67.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","9724","9724","2","legacy","1024","2","48000","-16","experiment","67","odd","legacy","NA","181798","288449","202783","206884","NA","176947","NA","1614","285729","1614","206884","NA","1618","1618","218834","218834","77231","276004","288449","196602","202783","NA","NA","218816","276003","lineup1","0","0","0","no","no","1366"
