confidence_immediate,datetime,experiment_file,experiment_path,gender,identification,identification_made,identification_multiple,identification_proceed,lecture_time,logfile,member,member1,member2,member3,member4,member5,member6,path_file,response_time,response_time_live_view,subject_nr,target,target1,target2,time_check_identification,time_end_of_experiment,time_experiment,time_gender_randomization_sequence,time_identification_task,time_lineup_sequence,time_live_view,time_logger,time_member_randomization_loop,time_member_randomization_sequence,time_setting_sequence,time_video,row_order,date,time,datetime_updated,date_rank,datetime_rank,person,condition,target_value,gender_updated,lecture_datetime,gender_first
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,female,No,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,1,5.0,1.0,3.0,7.0,2.0,4.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target2,present,absent,68132.0,242139.0,3776,3843.0,64902.0,5004.0,,68132,3845.0,3847.0,,42187.0,2,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,5.0,FB,absent,female,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,female,No,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,2,5.0,1.0,3.0,7.0,2.0,4.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target2,present,absent,81811.0,242139.0,3776,3843.0,79846.0,69122.0,,81811,3845.0,3847.0,,69122.0,3,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,1.0,FB,absent,female,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,female,No,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,3,5.0,1.0,3.0,7.0,2.0,4.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target2,present,absent,100344.0,242139.0,3776,3843.0,98006.0,82857.0,,100344,3845.0,3847.0,,82857.0,4,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,3.0,FB,absent,female,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,female,No,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,4,5.0,1.0,3.0,7.0,2.0,4.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target2,present,absent,113294.0,242139.0,3776,3843.0,110790.0,101318.0,,113295,3845.0,3847.0,,101318.0,5,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,7.0,FB,absent,female,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,female,No,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,5,5.0,1.0,3.0,7.0,2.0,4.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target2,present,absent,127959.0,242139.0,3776,3843.0,125634.0,114326.0,,127960,3845.0,3847.0,,114326.0,6,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,2.0,FB,absent,female,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,female,No,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,6,5.0,1.0,3.0,7.0,2.0,4.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target2,present,absent,135445.0,242139.0,3776,3843.0,132618.0,129004.0,,135445,3845.0,3847.0,,129004.0,7,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,4.0,FB,absent,female,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,female,No,No,no,No,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,6,5.0,1.0,3.0,7.0,2.0,4.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target2,present,absent,135445.0,242139.0,3776,3843.0,132618.0,129004.0,,152347,3845.0,3847.0,,129004.0,8,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,4.0,FB,absent,female,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,male,No,No,no,No,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,6,3.0,4.0,5.0,6.0,2.0,1.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target1,present,absent,135445.0,242139.0,3776,152413.0,132618.0,129004.0,,152416,152413.0,152415.0,,129004.0,9,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,1.0,FB,present,male,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,male,No,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,1,3.0,4.0,5.0,6.0,2.0,1.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target1,present,absent,165320.0,242139.0,3776,152413.0,162850.0,153493.0,,165320,152413.0,152415.0,,158809.0,10,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,3.0,FB,present,male,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,male,No,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,2,3.0,4.0,5.0,6.0,2.0,1.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target1,present,absent,170269.0,242139.0,3776,152413.0,168240.0,166377.0,,170269,152413.0,152415.0,,166377.0,11,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,4.0,FB,present,male,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,male,No,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,3,3.0,4.0,5.0,6.0,2.0,1.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target1,present,absent,176266.0,242139.0,3776,152413.0,174214.0,171288.0,,176266,152413.0,152415.0,,171288.0,12,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,5.0,FB,present,male,2017/11/04 10:00:00,female
no,11/04/17 11:02:58,lineup_videoFB.osexp,C:/Users/standalone/Desktop/Full Body Video 0411,male,Not sure,no,no,no,10:00:00,C:/Users/standalone/Desktop/Full Body Video 0411/subject-1.csv,4,3.0,4.0,5.0,6.0,2.0,1.0,./input_data\Tomas 041118\1.27 - Full Body Video\subject-1.csv,,,1,target1,present,absent,205196.0,242139.0,3776,152413.0,199424.0,177295.0,,205196,152413.0,152415.0,,177295.0,13,2017/11/04,11:02:58,2017/11/04 11:02:58,1.0,3.0,6.0,FB,present,male,2017/11/04 10:00:00,female
